City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
Savoy Sharm El Sheikh (Resort) (Egypt) Deals,Savoy Sharm El Sheikh,Scored 8.7,9.0,8.9,9.0,9.0,8.5,9.3,No Rate
"The Mango Guest House (Guesthouse), Aswan (Egypt) Deals",The Mango Guest House,Scored 9.1,9.5,9.0,9.4,9.4,9.4,9.0,8.5
"Eco Nubia (Lodge), Aswan (Egypt) Deals",Eco Nubia,Scored 8.8,9.3,8.4,8.6,8.9,8.5,9.7,4.3
"Bob Marley Guest House (Guesthouse), Aswan (Egypt) Deals",Bob Marley Guest House,Scored 9,9.5,8.8,9.1,9.0,9.2,9.3,8.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.3
"Benben by Dhara Hotels - Adults Only (Hotel), Aswan (Egypt) Deals",Benben by Dhara Hotels - Adults Only,Scored 9.3,9.6,9.3,9.5,9.6,8.9,9.3,8.0
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.5,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Ekadolli Nubian Guesthouse-by kerma hospitality (Guesthouse), Aswan (Egypt) Deals",Ekadolli Nubian Guesthouse-by kerma hospitality,Scored 8.5,9.3,8.3,8.8,8.7,9.1,7.5,6.9
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.1,8.4,8.2,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"أسوان (Boat), Aswan (Egypt) Deals",أسوان,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.1,9.3
"Eco Nubia (Lodge), Aswan (Egypt) Deals",Eco Nubia,Scored 8.8,9.3,8.4,8.6,8.9,8.5,9.7,4.3
"Bob Marley Guest House (Guesthouse), Aswan (Egypt) Deals",Bob Marley Guest House,Scored 9,9.5,8.8,9.1,9.0,9.2,9.3,8.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.3
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Ekadolli Nubian Guesthouse-by kerma hospitality (Guesthouse), Aswan (Egypt) Deals",Ekadolli Nubian Guesthouse-by kerma hospitality,Scored 8.5,9.3,8.3,8.8,8.7,9.1,7.5,6.9
"The Mango Guest House (Guesthouse), Aswan (Egypt) Deals",The Mango Guest House,Scored 9.1,9.5,9.0,9.4,9.4,9.4,9.0,8.5
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.0,8.4,8.1,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.0,9.3
"Villa Misk (Villa), Aswan (Egypt) Deals",Villa Misk,Scored 8,8.2,7.9,8.0,8.3,7.6,8.1,No Rate
"Baba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Baba Dool,Scored 9,9.4,8.3,8.9,8.9,9.0,9.4,6.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
"Nubian Dreams Guest House (Guesthouse), Aswan (Egypt) Deals",Nubian Dreams Guest House,Scored 8.4,9.2,7.9,8.5,8.8,8.5,9.5,10
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.3
"Benben by Dhara Hotels - Adults Only (Hotel), Aswan (Egypt) Deals",Benben by Dhara Hotels - Adults Only,Scored 9.3,9.6,9.3,9.5,9.6,8.9,9.3,8.0
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.0,8.4,8.1,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.0,9.3
"Baba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Baba Dool,Scored 9,9.4,8.3,8.9,8.9,9.0,9.4,6.6
"Gloria Aqua Park Hotel (Hotel), Aswan (Egypt) Deals",Gloria Aqua Park Hotel,Scored 8,8.9,8.4,8.8,8.9,8.2,6.8,7.0
"The Zen Wellness Resort (Resort), Aswan (Egypt) Deals",The Zen Wellness Resort,Scored 7.5,8.1,7.5,8.1,8.2,7.3,7.1,8.8
"La Terrace (Guesthouse), Aswan (Egypt) Deals",La Terrace,Scored 9.7,9.9,9.4,9.7,9.7,9.7,9.7,8.3
"ABAZIDO Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",ABAZIDO Nubian Guest House,Scored 9.4,9.7,8.9,9.4,9.4,9.4,9.7,7.9
"Nile View Guest House (Guesthouse), Aswan (Egypt) Deals",Nile View Guest House,Scored 9.4,9.7,8.9,9.3,9.2,9.4,9.7,10.0
"Queen House (Guesthouse), Aswan (Egypt) Deals",Queen House,Scored 9.3,9.7,8.9,9.3,9.3,9.4,9.4,10
"El-amin Guest House (Guesthouse), Aswan (Egypt) Deals",El-amin Guest House,Scored 8.8,9.5,8.7,8.9,8.8,9.3,9.5,8.3
"The Mango Guest House (Guesthouse), Aswan (Egypt) Deals",The Mango Guest House,Scored 9.1,9.5,9.0,9.4,9.4,9.4,9.0,8.5
"Eco Nubia (Lodge), Aswan (Egypt) Deals",Eco Nubia,Scored 8.8,9.3,8.4,8.6,8.9,8.5,9.7,4.3
"Bob Marley Guest House (Guesthouse), Aswan (Egypt) Deals",Bob Marley Guest House,Scored 9,9.5,8.8,9.1,9.0,9.2,9.3,8.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.3
"Benben by Dhara Hotels - Adults Only (Hotel), Aswan (Egypt) Deals",Benben by Dhara Hotels - Adults Only,Scored 9.3,9.6,9.3,9.5,9.6,8.9,9.3,8.0
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Ekadolli Nubian Guesthouse-by kerma hospitality (Guesthouse), Aswan (Egypt) Deals",Ekadolli Nubian Guesthouse-by kerma hospitality,Scored 8.5,9.3,8.3,8.8,8.7,9.1,7.5,6.9
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.0,8.4,8.1,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Asilah kato nubian guest house (Bed and Breakfast), Aswan (Egypt) Deals",Asilah kato nubian guest house,Scored 9.6,10,8.7,8.7,9.0,9.5,10,No Rate
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.0,9.3
"The Mango Guest House (Guesthouse), Aswan (Egypt) Deals",The Mango Guest House,Scored 9.1,9.5,9.0,9.4,9.4,9.4,9.0,8.5
"Eco Nubia (Lodge), Aswan (Egypt) Deals",Eco Nubia,Scored 8.8,9.3,8.4,8.6,8.9,8.5,9.7,4.3
"Bob Marley Guest House (Guesthouse), Aswan (Egypt) Deals",Bob Marley Guest House,Scored 9,9.5,8.8,9.1,9.0,9.2,9.3,8.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.4
"Benben by Dhara Hotels - Adults Only (Hotel), Aswan (Egypt) Deals",Benben by Dhara Hotels - Adults Only,Scored 9.3,9.6,9.3,9.5,9.6,8.9,9.3,8.0
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Hapi V (Hotel), Aswan (Egypt) Deals",Hapi V,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Ekadolli Nubian Guesthouse-by kerma hospitality (Guesthouse), Aswan (Egypt) Deals",Ekadolli Nubian Guesthouse-by kerma hospitality,Scored 8.5,9.3,8.3,8.8,8.7,9.1,7.5,6.9
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.0,8.4,8.1,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.0,9.3
