city_name,reviewer_name,reviewer_nationality,review_text,review_date,travel_type
Sharm El Sheikh,Anonymous,NULL,"La mia guida è stata strepitosa. Mi ha portato dove fanno oli, spezie e cure naturali, nella moschea, in mezzo alla Sharm Vecchia e mi ha spiegato tutto molto bene per filo e per segno. È stat una bellissima esperienza ricca di cultura.","Posted March 11, 2024 on Booking.com",Visited solo
Sharm El Sheikh,Isabella,South Africa,"It was on my bucket list. It was not easy for me, also the younger people in the group did find it difficult. Remember you have enough time to reach the summit before the sun comes up. Walk with proper walking shoes. Take a hat for the return trip which will be in the morning sun. I feel blessed that I did managed to reach the summit. Do it...go for it.","Posted September 08, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,Yassin,Egypt,"Simply a scam, I booked for May 26, and then 4h before my trip begins the organizer called me to inform that the trip has to be cancelled because of weather condition, he forced me to reschedule for May 29th even though it doesn’t work for me, and when I asked for a refund, he rudely declined and didn’t agree on a partial nor a full refund, I paid 60$ for me and my sister. Very disappointing, please don’t book your trip through this organizer, he doesn’t have enough people to gather for his trips and scams people this way. There wasn’t any bad weather conditions, I’m a local here and it was fine, it was an excuse he just made up.","Posted May 28, 2024 on Booking.com",Visited with family
Sharm El Sheikh,TANYA_K,NULL,"Marvelous organization, perfect guides Ahmed,Megdi. A bit hard climbing because of lack of training last year but very exciting. And not that cold as everyone said!!!Bad thing-very little time for the monastery-only 45minutes and there is a lot to see and learn there. As a whole-worth doing it!","Posted April 18, 2024 on Viator",NULL
Sharm El Sheikh,Junaid_H,NULL,NULL,"Posted April 03, 2024 on Viator",NULL
Sharm El Sheikh,Anne_P,NULL,"Loved going up the mountain in the dark, the sunrise was spectacular and the way the mountains lit up in the sun was fantastic. It was a hard walk especially the last 700 steps but so worth it to reach the top. The guide was excellent and the trip ran like clockwork","Posted February 29, 2024 on Viator",NULL
Sharm El Sheikh,Anonymous,NULL,This trip was borderline dangerous. They crammed so many people into the mountain at the same time and the pace of walking was so slow that people were suffering from the cold despite being well prepared. No torches provided so we walked in the dark with icy paths. It was just about making money out of people. Absolutely terrible experience.,"Posted February 21, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Nicolette_B,NULL,"It was a nice view, but a very hard climb and very cold temperatures. Be prepared for the above if you opt to do this. Also, have enough money (cash) so that you can get a camel up and also down if needed…as it is definitely very exhausting!","Posted February 04, 2024 on Viator",NULL
Sharm El Sheikh,Debora_M,NULL,"Good experience overall, everything went as expected we did a good research beforehand. We were picked up at out hotel 21:00 and dropped back at 13.30 next day. Not suitable for older folks as some people really struggled in our group. It's a nice thing to do once.","Posted January 25, 2024 on Viator",NULL
Sharm El Sheikh,Peter,NULL,"A hard walk, and it is very cold, but a spectacular sunrise. Bedouin guide for the walk was excellent, taking good care of the slower walkers and arranging camels for those who wanted them. Descent less tiring but very hard on the knees. Short tour of the monastery was good before return bus trip. Not sure why we had to go so early (pickup time was 8pm for us, and a bit earlier for some others). We started walking before 1am and were virtually at the summit before 4am. A lengthy wait there as sunrise was 6.30am, with first trace of light soon after 5.30.","Posted January 23, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,MuhammadBilal_S,NULL,"Good for price. Guide in bus was excellent, though Bedouin guide(that I heard great stories about) didn't show much care to group. Please note, you have to pay €10 in cash plus copy of your passport.","Posted January 17, 2024 on Viator",NULL
Sharm El Sheikh,Ritwik_C,NULL,It was pretty much what was promised but the scuba diving was only at 1 spot and not 2 different spots but we were able to dive twice. The diving instructor was really good and took everyone under water personally and ensured utmost safety and care.,"Posted November 14, 2024 on Viator",NULL
Sharm El Sheikh,Andrew_R,NULL,"Dear Valued Guest, Thank you very much for your feedback, your reviews are very important
to us, our main target always is to assist our guest with the highest level of service. will be
waiting for your next visit.","Posted November 14, 2024 on Viator",NULL
Sharm El Sheikh,frank_o,NULL,Hatim (Tom) One of the scuba divers guide is just an incredible awesome instructor! As a first time diver with Hatim explaining the Procedures and safety rules to adhere to we became an overnight experts in scuba diving. Thank you again Hatim for giving us an amazing experience,"Posted November 03, 2024 on Viator",NULL
Sharm El Sheikh,Xue_L,NULL,Everything was great and the operator was responsive and responsible. All the crew on the ship were very friendly and helpful. It's my first diving and I don't know how to swim. Our instructor took good care of me and no rush at all. I would like to thank every crew on the ship for giving us such a great experience.,"Posted October 15, 2024 on Viator",NULL
Sharm El Sheikh,arkay_a,NULL,"I can honestly say that this was one of the best things I've ever done in my life. Once I've put the googles on and dip my face in the water, I said wow out loud and almost die because my regulator came out of my mouth. Special thanks to our diving instructor Kimo. His clear instructions with huge confidence was probably the only way to maintain our composure underwater. Great guy! All the crew members were so friendly and helpful. Only negative thing to say about this trip was the waiting time in the diver's club for the boat and as well putting the boat back to wharf took too long.","Posted September 03, 2024 on Viator",NULL
Sharm El Sheikh,Dorothy_H,NULL,"Dear Valued Guest, Thank you very much for your feedback, your reviews are very important
to us, our main target always is to assist our guest with the highest level of service. will be
waiting for your next visit.","Posted August 11, 2024 on Viator",NULL
Sharm El Sheikh,hassan_c,NULL,Awesome experience... Very professional team of divers.... Good lunch.... Time well spent... Free pick and drop from any hotel,"Posted January 31, 2024 on Viator",NULL
Sharm El Sheikh,nidal_A,NULL,"Overall it was a good experience, however there were some unprofessional services at the beginning. We had to stay for a bit under the sun waiting for some permits or some people that were late (not sure) as it wasn’t clear. I would advise the organiser to have your guests to be seated in the cafe under a roof if you are expecting a waiting time. Specially if it’s unclear for how long. The weather is very hot and it’s not nice nor wise to keep postponing the period of waiting for the guests. If you are allergic to the smell of petrol/gas then best to stay off the first floor as you can smell the gas from the motor room. The staff have made up for all that with their great service and friendly vibes in the boat. I would recommend it.","Posted August 23, 2023 on Viator",NULL
Sharm El Sheikh,ZAHİDE ELİF,NULL,There are no comments available for this review,"Posted November 26, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,Yasuhisa,Japan,There are no comments available for this review,"Posted November 16, 2024 on Booking.com",Visited solo
Sharm El Sheikh,savita_h,NULL,NULL,"Posted March 21, 2024 on Viator",NULL
Sharm El Sheikh,Fliss_T,NULL,Excellent excellent excellent 👏 great local tour leaders .... fun and interesting.... highly recommended..... a memorable experience,"Posted January 14, 2024 on Viator",NULL
Sharm El Sheikh,Richard_B,NULL,NULL,"Posted December 27, 2023 on Viator",NULL
Sharm El Sheikh,Carmen_W,NULL,"Les paysages sont sublimes avec le contraste de couleurs entre le bleu turquoise de la mer et le jaune du désert, et même le vert avec une inattendue petite mangrove. Vous pouvez parfaitement faire ce tour sans snorkeling. L'équipement à louer n'est pas inclus et il n'y a qu'une petite heure pour s'équiper, rejoindre la zone et admirer les coraux. Personnellement, je ne l'ai pas fait et il y a largement de quoi s'occuper en se promenant, en prenant des photos du lac magique tout proche et en se baignant dans celui-ci. Il y a bien un arrêt baignade juste après, mais 10 minutes maximum donc, si vous voulez vous baigner, faites-le à la place du snorkeling. Il y a plusieurs arrêts photos, courts mais superbes.","Posted December 25, 2023 on Viator",NULL
Sharm El Sheikh,Enrico,Italy,There are no comments available for this review,"Posted December 01, 2024 on Booking.com",NULL
Sharm El Sheikh,Katia,Egypt,There are no comments available for this review,"Posted November 14, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,ABDELLATIF,Morocco,There are no comments available for this review,"Posted October 11, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,Katarzyna,Norway,There are no comments available for this review,"Posted October 04, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Pascolini,Italy,There are no comments available for this review,"Posted September 28, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,Carlo,Italy,There are no comments available for this review,"Posted September 05, 2024 on Booking.com",Visited with family
Luxor,Osman_z,NULL,"It was well organized. The balloon company that they are working with has done a great job. They picked us up with a minibus and a boat and served coffee, tea, and a donut. The balloon experience was awesome. The pilot explained the details of the flight. Very polite staff and pilot. They were 10-15 min. late for pick up but explained their confusion about the hostel’s location. Their apologies made me feel happy. There was no problem about the drop off. I strongly recommend this experience.","Posted September 05, 2024 on Viator",NULL
Luxor,Eamon_N,NULL,Fantastic hot air balloon ride in Luxor. Very well organised and operated. Exceptional place to view from above. Highly recommended!,"Posted March 20, 2024 on Viator",NULL
Luxor,DARICHA_B,NULL,"Loved every moment. Really an amazing experience. We received confirmation the night before, picked up promptly. Drove a short while, did a boat trip to cross the Nile with coffee/tea and cookies, another short drive and arrived to watch the balloons being fired up. Hopped into the balloon and floated over the Valley of the King's and saw the sunrise over the Nile. The groundcrew worked really hard running through the fields to ensure a soft landing. Back to the hotel. Still can't believe it was real, feels like a dream!!","Posted January 20, 2024 on Viator",NULL
Luxor,Max_O,NULL,El despegue y el aterrizaje son actividades que tomaron su tiempo y superaron el tiempo de vuelo efectivo.,"Posted April 14, 2024 on Viator",NULL
Luxor,AKIRA_S,NULL,ホテル送迎・船での対岸への移動・気球乗船とスムーズに対応されていた。気球では日の出のタイミングで上昇して、ルクソールの遺跡群とサンライズを見ることができ素晴らし眺めだった。着陸時もスムーズで非常にいい経験をする事ができて、とてもおすすめのツアーでした。,"Posted January 05, 2024 on Viator",NULL
Luxor,Alexandra,Ecuador,There are no comments available for this review,"Posted December 08, 2024 on Booking.com",Visited with friends
Luxor,Diego,Brazil,There are no comments available for this review,"Posted November 15, 2024 on Booking.com",Visited solo
Luxor,gavin,United Kingdom,"Fantastic, Barry and Mustafa the driver and guide were great. The temples and valley of the kings are a must see.","Posted September 13, 2024 on Booking.com",Visited with family
Luxor,Ernie,Singapore,The sights are world class must see - but the weather is hot and there is little shelter - bring an umbrella and lots of water,"Posted April 22, 2024 on Booking.com",Visited with a partner or spouse
Luxor,Michelle,United Kingdom,"My guide Khaled, was a very knowledgeable of all the places we visited, spoke very good English, I looked after me really well and made my day very enjoyable?","Posted April 14, 2024 on Booking.com",Visited solo
Luxor,Rose,United Kingdom,NULL,"Posted March 31, 2024 on Booking.com",Visited with a partner or spouse
Luxor,Anthony,United States of America,Great tour for someone short on time. My guide Sayed Gamal made sure I got to see the best highlights of the tour. I felt without Sayed’s guidance I would have missed so much.,"Posted March 07, 2024 on Booking.com",Visited solo
Luxor,ThiLanHuong_T,NULL,"We thoroughly enjoyed the trip. Our tour guide, Hassan, is quite a good vivid story teller. He explained the history of egypt and its past kingdom very thorougly that even I, a non-history person, can follow easily. His English is really good and he even can speak French to me. Momen, our driver also made sure that the trip was safe and pleasant. We basically covered everything in Luxor in a day like they stated so by the end of the trip, we were quite tired with the jet lag. We did go back to Luxor temple the next day to enjoy it more for our own preference. Overall, I was happy to book this tour.","Posted March 01, 2024 on Viator",NULL
Luxor,Sheree_S,NULL,Absolutely incredible experience. Noby was so well informed and knowledgeable. Traveling by myself I always try get a solo guide and a driver. It’s totally worth it as you hear and see so much more than in a large group. Noby cherry picks the best out of the five areas you go to. A full 6 hours with an amazing lunch. He will go as fast or slow as you need..there is a lot to take in but at the end you totally understand the connections of this amazing civilization. Such a pleasure to be with and a brilliant experience. What an amazing guide and driver. Memories that will last forever. Noby also takes the best pics.. better than a selfie stick 😂😎✨🙏🏼 thank you …,"Posted February 26, 2024 on Viator",NULL
Luxor,Carsten_E,NULL,An interesting and very joyfull day with many new informations. Our guide had many details and he was very caring. We had a superb day with also small extra activities. Thank you.,"Posted February 15, 2024 on Viator",NULL
Luxor,Rakan,NULL,"One of the most amazing trips I ever had in Egypt. For the people who have a short stay, this is the right trip, as you see most of the important locations. I would recommend to add to it the Vally of The Queens as well as an extra.

I was guided by Barry, who made me feel that I'm with a friend rather than a guide. Very cooperative and will focus on what matters to you.","Posted February 13, 2024 on Viator",NULL
Luxor,Brooke_O,NULL,"Our guide Aladdin was an amazing guide. Friendly, knowledgeable, punctual, helpful, and kind. Highly recommend the tour led by Aladdin. Our driver Ahmed was very polite, courteous, and a very good driver.","Posted January 25, 2024 on Viator",NULL
Luxor,Anonymous,NULL,"Stunning experience doing the balloon ride over Luxor. We didnt know if we were going to be able to go up and so we waited for a while and we were worried the flight would be cancelled. Luckily we got good news and we had an amazing flight over Luxor. It made me feel good that safety was prioritized. One thing I will say is that the light ""breakfast"" or ""refreshments"" that were advertised didn't happen, but all in all it was a great morning. They also ask you to do some impromptu poses and hand holding so they can sell you the video of the flight after, but it didn't feel pressured so that was fine. The guide and pilot were great!","Posted October 24, 2024 on Booking.com",Visited solo
Luxor,Naeem,United Kingdom,"Overall the experience was good, they offered tea and coffee however no snack. The flying experience was good nice height. We were also able to purchase the photo and video recording of the experience for $30 however the quality is not that great. If the video and picture was in higher quality then I would of gave it a 5 star.","Posted September 15, 2024 on Booking.com",Visited with family
Luxor,gavin,United Kingdom,"Absolutely must do, fantastic experience and the staff were super friendly.","Posted September 14, 2024 on Booking.com",Visited with family
Luxor,Iris,United States of America,"My experience was very good, this is the third time I have traveled in a balloon, and I had read that it was not so good in Luxor, but for me it was very nice to see the Nile, the Valley of the Kings, Hapshetsut and its surroundings. I think every country has its own charm. They all have something special. I would recommend it 100%","Posted May 24, 2024 on Booking.com",Visited solo
Luxor,Jay,United Kingdom,"It was just a 20 mins flight in a hot air balloon against the 45 mins promised. Also no certificates were given. Just a very simple rushed experience, not worth the money.","Posted April 11, 2024 on Booking.com",Visited with family
Luxor,Anonymous,NULL,"The organiser didn't tell me the pick-up time so I was assuming they would come to my hotel at 5am or later but they actually came at 4:10 and called me saying like 'where are you? our guy is waiting for you'. I was just awoken by the call so had to prepare very quickly, and got no apologies from the organiser on this. The balloon ride itself was amazing and I loved it but they can improve as to customer services.","Posted March 31, 2024 on Booking.com",Visited solo
Luxor,Diego R,United States of America,Great experience! Excellent communication with the provider and very attentive staff!,"Posted January 05, 2024 on Booking.com",Visited with friends
Luxor,Vipin,Germany,It was very well organised tour. In the beginning I was little apprehensive but Ramadan and team made this experience wonderful. We witnessed sunrise in 1st Jan 2024 which was already great beginning to new year. I would highly recommend this agency and tour.,"Posted January 03, 2024 on Booking.com",Visited with family
Luxor,joanne,United Kingdom,A must do if you're in luxor. Incredible experience and such a lovely team. Thanks guys for helping me tick something off the bucket list 👍 ♥,"Posted December 26, 2023 on Booking.com",Visited with a partner or spouse
Luxor,Mustafa,Pakistan,Balloon ride itself was worth the experience. Ramadan was very helpful and a beautiful person. I would recommend him to others visiting Luxor.,"Posted December 06, 2023 on Booking.com",Visited with family
